B,C,D,E
65,63,51,47
66,64,52,51
67,65,53,52
68,66,54,53
69,67,55,55
70,68,56,56
71,69,57,57
72,70,58,58
73,71,59,59
74,72,60,60
75,73,61,61
76,74,62,62
77,75,63,63
78,76,64,64
79,77,65,65
80,78,66,66
81,79,67,67
82,80,68,68
83,81,69,69
84,82,70,70
85,83,71,71
86,84,72,72
87,85,73,73
88,86,74,74
89,87,75,75
90,88,76,76
91,89,77,77
92,90,78,78
93,91,79,79
94,92,80,80
95,93,81,81
96,94,82,82
97,95,83,83
98,96,84,84
99,97,85,85
100,98,86,86
101,99,87,87
102,100,88,88
103,101,89,89
104,102,90,90
105,103,91,91
106,104,92,92
107,106,93,93
108,109,94,94
109,110,95,95
110,114,96,96
111,121,97,97
112,133,98,98
113,138,99,99
114,140,100,100
115,141,101,101
116,143,102,102
117,144,103,103
118,145,104,104
119,147,105,105
120,148,106,106
121,149,107,107
122,150,108,108
123,151,109,109
124,152,110,110
125,153,111,111
126,154,112,112
127,155,113,113
128,156,114,114
129,157,115,115
130,158,116,116
131,159,117,117
132,160,118,118
133,161,119,119
134,162,120,120
135,163,121,121
136,164,122,122
137,165,123,123
138,166,124,124
139,167,125,125
140,168,126,126
142,169,127,127
143,170,128,128
144,171,129,129
145,172,130,130
147,173,131,131
148,174,132,132
149,175,133,133
150,176,134,134
151,177,135,135
152,178,136,136
153,179,137,137
154,180,138,138
156,181,139,139
157,182,140,140
158,183,141,141
159,184,142,142
161,185,143,143
162,186,144,144
163,187,145,145
164,188,146,146
167,189,147,147
168,190,148,148
172,191,149,149
173,192,150,150
175,193,151,151
176,194,152,152
177,195,153,153
178,196,154,154
179,197,155,155
181,198,156,157
182,199,157,158
183,200,158,159
186,201,159,160
187,202,160,161
188,203,161,162
189,204,163,163
191,205,164,164
192,206,165,165
193,207,166,166
196,208,167,170
201,209,173,173
