CQD1,CQD2,CQD3,CQD4,CQD5,CQD6,CQD7,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Batch,Operator,Concentration
42.28517914,42.06864548,43.09175873,41.49454498,42.14905548,42.25767899,42.11882782,38.79558182,39.34623718,38.39444351,38.63125992,38.98644257,38.43016434,38.72776031,B,Operator 1,10ppb
49.62594604,48.58683777,48.82210159,47.81428909,49.0520668,49.64571381,48.60491562,43.91675186,44.50766373,44.82764053,45.66558838,44.65142059,44.41423035,44.73786545,B,Operator 1,10ppb
54.66583633,54.4396553,53.78617096,54.57200241,53.63518906,54.2601738,54.15528488,49.68684769,49.20891953,48.7834816,49.48075867,48.64864731,49.26816559,49.17908096,B,Operator 1,10ppb
61.9989624,62.08098221,61.40774155,61.63330841,61.40982819,62.76851273,61.47707748,57.08225632,56.43601227,56.92826843,57.17298126,56.36031723,56.09745026,55.75225449,B,Operator 1,10ppb
69.64456177,69.18288422,69.32740784,69.26055908,68.89959717,69.109375,69.85982513,64.07815552,63.94018173,63.7113533,63.72311783,63.72237396,62.57189178,62.96101379,B,Operator 1,10ppb
81.31878662,80.13539124,79.11825562,80.34386444,79.97534943,80.40332794,79.87848663,73.86123657,73.36419678,72.99504852,73.5318985,74.5711441,73.24076843,74.09703827,B,Operator 1,10ppb
92.63725281,91.79518127,91.34107971,91.64250946,91.81069946,91.36509705,91.13608551,83.7567749,83.71536255,83.121521,84.03335571,84.60772705,83.39564514,83.0623703,B,Operator 1,10ppb
103.9531784,102.4651718,103.4695129,103.4936447,102.5521011,103.9971313,101.2435379,94.01789093,94.14432526,93.73322296,95.28272247,94.15365601,92.79722595,94.07268524,B,Operator 1,10ppb
115.0783386,114.5540924,114.8263474,114.814476,115.9172592,114.2740021,114.4846191,105.153656,104.9651947,104.1603012,105.2727432,105.5935287,103.5848465,104.0974884,B,Operator 1,10ppb
131.4499207,130.9169159,130.9907532,131.0179749,132.0093231,130.1000671,131.2277374,118.371376,120.1887665,119.1013336,119.02668,118.1790314,119.5292282,117.8768387,B,Operator 1,10ppb
146.9400787,145.1161804,147.3644714,145.5406494,146.8587952,146.9230499,146.0643005,133.3209534,132.7503967,134.1452179,133.2174377,133.1619263,133.5166321,132.6159363,B,Operator 1,10ppb
166.9650421,165.4211273,169.0581665,166.1390381,168.3461609,163.7237396,167.9603577,152.2486115,150.7820435,149.6589203,151.6512146,151.6675873,151.4063568,151.4804535,B,Operator 1,10ppb
182.2528076,183.2148438,183.190506,182.9712982,182.3635559,181.8098145,183.1873016,166.679718,166.3774109,164.9823151,165.6710663,166.1080475,165.3592377,166.503479,B,Operator 1,10ppb
205.6050568,206.1993256,204.9779816,206.4553528,205.6335297,206.1512909,205.3851013,187.1529541,184.6461334,186.2340088,186.5915222,185.2909241,185.4090118,184.9282684,B,Operator 1,10ppb
223.7549133,224.3397064,225.5314636,224.5705872,226.184906,224.6434784,224.2342377,205.5656586,202.0615082,203.690979,200.9634705,203.881897,201.4114532,203.1006012,B,Operator 1,10ppb
255.0183258,253.6407776,252.1924133,252.9437561,252.325592,251.6955414,252.702713,229.1624298,228.1055908,229.3814392,228.335022,227.9275055,227.6891174,228.78862,B,Operator 1,10ppb
277.0914917,277.2073059,276.9334106,277.9469299,278.1734619,279.8786011,278.1807556,252.5146332,251.2458038,249.1920319,251.8792419,248.6689758,252.1219025,250.1210938,B,Operator 1,10ppb
303.5415344,305.9136047,306.499115,304.9907837,304.4495239,306.8448792,304.134552,276.0343933,276.6148682,275.1042786,276.7567749,275.5445557,274.5278015,276.7828064,B,Operator 1,10ppb
329.5081482,331.9556885,329.6200256,330.1942749,329.2079773,330.5480042,330.6613464,300.1573181,297.0488586,298.3421021,299.7039795,298.9849854,300.6328125,301.5885315,B,Operator 1,10ppb
364.1425476,363.3472595,361.6354675,364.0433044,365.355835,363.4458008,364.3924255,328.0814819,326.4237671,327.440094,327.0158081,328.9988403,327.3290405,327.2350159,B,Operator 1,10ppb
392.5444641,391.1491089,391.2718811,392.136261,392.3618469,392.6283264,392.3859863,353.3110962,354.092804,353.2420959,351.7528381,354.3560181,355.6028748,354.4725647,B,Operator 1,10ppb
428.1119995,429.1820679,427.7154541,428.2770996,427.7883606,429.6618958,429.4020691,387.0922546,385.8625488,385.1481628,387.6738281,384.2592468,386.1934204,387.0499878,B,Operator 1,10ppb
457.1538696,453.3902283,456.4975281,455.9759216,454.0280457,455.2285767,454.7579041,413.8280945,410.0004883,411.5032043,410.7885742,409.9458923,409.5497437,410.2762756,B,Operator 1,10ppb
487.4680786,493.76474,490.0867004,486.6476135,489.4167175,491.8088074,488.6499634,442.2785034,445.3268738,442.8306885,440.6498718,443.7933655,443.0698242,443.3128662,B,Operator 1,10ppb
521.7640991,521.1311646,518.6546631,518.3684692,519.3955078,519.2608643,518.7297974,468.246582,468.6455994,468.5076904,470.513855,469.9826965,467.901947,466.6870117,B,Operator 1,10ppb
553.5841064,551.9506836,553.6216431,554.09021,555.6246338,555.9145508,556.663147,502.8036804,502.8974915,500.2060547,500.3817139,501.4495239,498.8722229,501.6003113,B,Operator 1,10ppb
580.9619141,584.3588867,586.088501,585.2252808,583.9945068,582.8274536,582.2408447,526.7669067,527.3373413,526.4868774,527.3452148,527.1700439,526.1216431,525.9005127,B,Operator 1,10ppb
612.5307007,616.1015015,615.7547607,613.885498,614.6688843,614.4177246,612.739502,555.7764282,554.6915894,552.862793,554.5009155,553.6784668,555.5039063,553.5932617,B,Operator 1,10ppb
637.9902954,641.5023193,641.1523438,640.4626465,642.1486816,643.0939331,637.6790771,581.2645264,578.9716187,580.4403687,580.5029907,576.9893799,578.2672119,579.4598389,B,Operator 1,10ppb
673.4287109,675.6782227,675.0143433,676.635498,671.6204224,673.3265381,672.6938477,606.8614502,612.3485107,606.8148193,603.4900513,603.2422485,609.3853149,609.5456543,B,Operator 1,10ppb
699.520813,699.7714233,700.4971313,698.6190186,698.3348999,699.0082397,698.8377686,631.543335,632.4404907,631.8626709,632.7087402,632.8412476,630.4425659,628.9360352,B,Operator 1,10ppb
