B,C,D,E
30,104,33,25
31,108,34,26
32,109,35,27
33,110,36,28
34,111,37,29
35,112,38,30
36,113,39,31
37,114,40,32
38,115,41,33
39,116,42,34
40,117,43,35
41,118,44,36
42,119,45,37
43,120,46,38
44,121,47,39
45,122,48,40
46,123,49,41
47,124,50,42
48,125,51,43
49,126,52,44
50,127,53,45
51,128,54,46
52,129,55,47
53,130,56,48
54,131,57,49
55,132,58,50
56,133,59,51
57,134,60,52
58,135,61,53
59,136,62,54
60,137,63,55
61,138,64,56
62,139,65,57
63,140,66,58
64,141,67,59
65,142,68,60
66,143,69,61
67,144,70,62
68,145,71,63
69,146,72,64
70,147,73,65
71,148,74,66
72,149,75,67
73,150,76,68
74,151,77,69
75,152,78,70
76,153,79,71
77,154,80,72
78,155,81,73
79,156,82,74
80,157,83,75
81,158,84,76
82,159,85,77
83,160,86,78
84,161,87,79
85,162,88,80
86,163,89,81
87,164,90,82
88,165,91,83
89,166,92,84
90,167,93,85
91,168,94,86
92,169,95,87
93,170,96,88
94,171,97,89
95,172,98,90
96,173,99,91
97,174,100,92
98,175,101,93
99,176,102,94
100,177,103,95
101,178,104,96
102,179,105,97
103,180,106,98
104,181,107,99
105,182,108,100
106,183,109,101
107,184,110,102
108,185,111,103
109,186,112,104
110,187,113,105
111,188,114,106
112,189,115,107
113,190,116,108
114,191,117,109
115,192,118,110
116,193,119,111
117,194,120,112
118,195,121,113
119,196,122,114
120,197,123,115
121,198,124,116
122,199,125,117
123,200,126,118
124,201,127,119
125,202,128,120
126,203,129,121
127,204,130,122
128,205,131,123
129,206,132,124
130,207,133,125
131,208,134,126
132,209,135,127
133,210,136,128
134,211,137,129
135,212,138,130
136,213,139,131
137,214,140,132
138,215,141,133
139,216,142,134
140,217,143,135
141,218,144,136
142,219,145,137
143,220,146,138
144,221,147,139
145,222,148,140
146,223,149,141
