,Run1_1pM Pb_E1,Run2_1pM Pb_E1,Run3_1pM Pb_E1,Run4_1pM Pb_E1,Run5_1pM Pb_E1,Run6_1pM Pb_E1,Run7_1pM Pb_E1,CQD1_1pM Pb_E1,CQD2_1pM Pb_E1,CQD3_1pM Pb_E1,CQD4_1pM Pb_E1,CQD5_1pM Pb_E1,CQD6_1pM Pb_E1,CQD7_1pM Pb_E1,Run1_5pM Pb_E1,Run2_5pM Pb_E1,Run3_5pM Pb_E1,Run4_5pM Pb_E1,Run5_5pM Pb_E1,Run6_5pM Pb_E1,Run7_5pM Pb_E1,CQD1_5pM Pb_E1,CQD2_5pM Pb_E1,CQD3_5pM Pb_E1,CQD4_5pM Pb_E1,CQD5_5pM Pb_E1,CQD6_5pM Pb_E1,CQD7_5pM Pb_E1,Run1_1pM Pb_E2,Run2_1pM Pb_E2,Run3_1pM Pb_E2,Run4_1pM Pb_E2,Run5_1pM Pb_E2,Run6_1pM Pb_E2,Run7_1pM Pb_E2,CQD1_1pM Pb_E2,CQD2_1pM Pb_E2,CQD3_1pM Pb_E2,CQD4_1pM Pb_E2,CQD5_1pM Pb_E2,CQD6_1pM Pb_E2,CQD7_1pM Pb_E2,Run1_5pM Pb_E2,Run2_5pM Pb_E2,Run3_5pM Pb_E2,Run4_5pM Pb_E2,Run5_5pM Pb_E2,Run6_5pM Pb_E2,Run7_5pM Pb_E2,CQD1_5pM Pb_E2,CQD2_5pM Pb_E2,CQD3_5pM Pb_E2,CQD4_5pM Pb_E2,CQD5_5pM Pb_E2,CQD6_5pM Pb_E2,CQD7_5pM Pb_E2,Run1_1pM Pb_E3,Run2_1pM Pb_E3,Run3_1pM Pb_E3,Run4_1pM Pb_E3,Run5_1pM Pb_E3,Run6_1pM Pb_E3,Run7_1pM Pb_E3,CQD1_1pM Pb_E3,CQD2_1pM Pb_E3,CQD3_1pM Pb_E3,CQD4_1pM Pb_E3,CQD5_1pM Pb_E3,CQD6_1pM Pb_E3,CQD7_1pM Pb_E3,Run1_5pM Pb_E3,Run2_5pM Pb_E3,Run3_5pM Pb_E3,Run4_5pM Pb_E3,Run5_5pM Pb_E3,Run6_5pM Pb_E3,Run7_5pM Pb_E3,CQD1_5pM Pb_E3,CQD2_5pM Pb_E3,CQD3_5pM Pb_E3,CQD4_5pM Pb_E3,CQD5_5pM Pb_E3,CQD6_5pM Pb_E3,CQD7_5pM Pb_E3,Run1_1pM Pb_E4,Run2_1pM Pb_E4,Run3_1pM Pb_E4,Run4_1pM Pb_E4,Run5_1pM Pb_E4,Run6_1pM Pb_E4,Run7_1pM Pb_E4,CQD1_1pM Pb_E4,CQD2_1pM Pb_E4,CQD3_1pM Pb_E4,CQD4_1pM Pb_E4,CQD5_1pM Pb_E4,CQD6_1pM Pb_E4,CQD7_1pM Pb_E4,Run1_5pM Pb_E4,Run2_5pM Pb_E4,Run3_5pM Pb_E4,Run4_5pM Pb_E4,Run5_5pM Pb_E4,Run6_5pM Pb_E4,Run7_5pM Pb_E4,CQD1_5pM Pb_E4,CQD2_5pM Pb_E4,CQD3_5pM Pb_E4,CQD4_5pM Pb_E4,CQD5_5pM Pb_E4,CQD6_5pM Pb_E4,CQD7_5pM Pb_E4,Run1_1pM Pb_E5,Run2_1pM Pb_E5,Run3_1pM Pb_E5,Run4_1pM Pb_E5,Run5_1pM Pb_E5,Run6_1pM Pb_E5,Run7_1pM Pb_E5,CQD1_1pM Pb_E5,CQD2_1pM Pb_E5,CQD3_1pM Pb_E5,CQD4_1pM Pb_E5,CQD5_1pM Pb_E5,CQD6_1pM Pb_E5,CQD7_1pM Pb_E5,Run1_5pM Pb_E5,Run2_5pM Pb_E5,Run3_5pM Pb_E5,Run4_5pM Pb_E5,Run5_5pM Pb_E5,Run6_5pM Pb_E5,Run7_5pM Pb_E5,CQD1_5pM Pb_E5,CQD2_5pM Pb_E5,CQD3_5pM Pb_E5,CQD4_5pM Pb_E5,CQD5_5pM Pb_E5,CQD6_5pM Pb_E5,CQD7_5pM Pb_E5
61,650.4387817,649.7503662,649.7896118,648.6053467,651.2115479,654.4318237,650.0606079,714.1594849,718.1255493,716.739502,718.3303833,716.9481812,716.862915,717.6206055,655.9765015,653.3643799,644.4723511,647.2880249,651.3747559,651.4592896,653.3439941,716.2685547,709.0380859,713.9747925,711.7138062,715.5620728,708.0786133,714.7147827,657.1962891,652.9591675,656.6021729,658.2411499,654.2333374,657.0621338,656.0004883,717.8483276,716.3719482,718.2583008,715.2236328,720.1728516,719.2592163,717.4945679,657.9071655,661.7647095,658.5855103,653.3879395,657.7595215,657.3154297,654.3265381,723.0463257,724.1368408,722.0939331,724.0324097,721.1984253,721.809021,724.8817749,661.5136108,655.9190063,654.4588623,656.7625122,659.2039795,657.3331909,655.3108521,719.7960815,716.5136108,717.7053833,718.8198853,718.6477661,724.1325684,720.1504517,639.6513672,638.8468018,638.3972778,640.3616333,642.2470093,636.6334839,637.9053955,701.6027832,700.9378662,698.3537598,702.5491333,699.7791138,702.3013916,700.5458374,650.9547119,652.5838623,652.6772461,650.076416,649.7228394,651.4830322,647.868103,709.4039917,708.3314209,711.5011597,706.6040649,710.6069336,711.0571899,709.6591187,631.8357544,625.7804565,631.4003296,628.7167969,629.4347534,626.8967896,625.2591553,703.5865479,700.2266235,701.5412598,699.4143677,703.2033081,698.9238892,698.2894897,663.7235718,669.4750977,663.3032837,667.2042847,662.2015381,659.8088989,662.8188477,720.913147,725.3085938,721.3562012,719.1557617,719.2990723,721.7562866,721.3410034,642.3770752,644.8554688,641.6536865,642.4332886,641.3916016,643.2611694,643.0917969,717.0401001,715.6403198,713.3651123,716.8952637,714.3163452,716.0091553,717.7091675
62,670.2230225,668.5594482,667.5457764,670.2181396,674.5443726,671.3494873,674.8529053,738.2531738,739.2177734,737.5272827,738.0350952,741.5841064,737.9139404,737.8123779,670.5724487,669.9299927,665.4014893,666.8980713,673.3355103,673.1217041,674.3469849,735.4343262,735.0092163,731.7435303,734.2886353,730.2325439,732.2823486,734.5526733,675.4626465,677.9449463,677.8397217,678.6557007,674.0878296,676.0559082,678.0257568,739.1113281,739.3860474,740.9329224,743.5148926,740.9723511,738.7805786,741.3204346,681.6832886,682.9577637,679.4539795,676.5159912,677.3510132,678.8754883,678.987915,742.6104126,746.9365234,746.8414307,746.5328979,744.2216797,748.7424316,745.5153198,683.6439819,676.0422363,674.7652588,675.7033691,680.7084961,675.8092651,679.0688477,742.6495972,740.519165,739.3867798,737.2093506,743.8598022,741.3436279,742.5415649,657.1610718,655.8837891,656.1978149,656.9063721,659.114624,659.4421997,657.0843506,724.6036377,723.0909424,728.8167114,723.5976563,724.3694458,726.6237183,720.5695801,668.7813721,668.4678345,669.7732544,670.3374634,673.2965088,668.7683716,668.6436157,730.0193481,730.055481,729.1958008,732.9248657,729.3530273,729.7727661,732.7927856,651.484314,646.2280273,651.8592529,651.1557617,650.3761597,643.8413086,645.8256836,721.7140503,726.888916,722.6825562,719.598999,720.3625488,720.8294067,721.4647827,689.468689,683.4545898,684.1064453,685.1544189,681.2098999,678.9972534,683.3987427,744.8036499,746.6914063,745.1890869,745.2141113,741.5264282,744.7396851,744.3759155,658.5440674,664.7310181,658.5443115,662.5674438,663.5491333,661.7821655,658.4593506,741.097168,742.8365479,737.7312622,737.734314,739.015564,739.0702515,738.609375
63,696.2774658,695.9311523,694.6260986,696.430481,697.2782593,697.7043457,698.3407593,767.3400879,763.2053833,765.7524414,765.2692261,765.4509888,767.4973755,764.4376221,693.9880371,693.5003052,693.3792114,691.8963013,698.2910767,702.3532715,700.0545044,764.0526733,761.0458984,758.9144287,757.7000732,755.2045288,759.8503418,760.2196045,706.9709473,697.6439819,702.1810913,702.3796387,700.9296875,702.4630127,700.1498413,763.7104492,765.2415161,770.0859375,765.3388672,766.3807373,765.9708252,770.9276123,705.3252563,702.0827026,702.9696655,702.895813,702.9882202,704.7839966,702.9379272,771.0379028,775.1070557,771.4518433,770.8778076,768.1138916,773.1209717,773.2242432,704.5628052,701.2182617,704.3529053,702.6220093,699.0592041,698.380127,705.1349487,770.0720825,768.0574341,770.5286255,768.5985107,767.2654419,768.2943726,772.0768433,680.8341675,678.8218994,679.2675781,680.3372192,677.5250854,680.9446411,681.5085449,746.2371826,748.6226196,751.8081055,749.1126709,747.1278687,748.8959961,743.8106689,693.4267578,693.9348145,694.4436035,695.3231201,694.7106934,689.8688354,696.949646,761.4121704,755.5545044,755.7633667,756.2838745,757.2788696,755.2585449,758.2158813,680.3457642,671.1567993,670.0754395,671.1351929,671.6309204,672.5466309,678.2869873,744.0470581,752.5217285,747.1028442,746.0977173,747.3279419,748.7167969,745.8182373,713.0111694,711.124939,710.267334,712.6436768,709.9797363,708.8483887,707.2576904,770.2042236,772.550293,770.9719238,770.7571411,770.1361694,767.6990967,771.1872559,685.4703979,683.2532959,684.2349854,682.883667,682.9153442,687.447937,683.9129639,764.244812,769.5264893,765.6166382,767.7205811,763.2458496,769.5083618,764.7336426
65,737.0517578,737.4121704,734.6708374,740.3188477,739.8423462,740.4627686,737.921875,816.2853394,812.602417,814.4749146,808.7481079,809.9264526,813.3225098,813.3153076,743.1226807,739.8737793,732.4553223,736.1665039,742.7341919,743.9916992,744.6598511,806.8955688,810.7051392,811.097168,809.4666138,805.0040894,806.8208008,805.7295532,748.4179688,741.2600098,746.3886108,744.4989014,744.5721436,743.756897,742.6571045,813.1845093,818.2770996,818.1000977,816.687439,814.6697998,814.9168701,814.331604,750.5841675,750.557373,743.7545166,745.2640381,743.7509766,746.8771973,745.9310303,820.401062,819.0930176,821.1317749,816.1278076,816.5335693,820.8896484,821.7794189,747.5988159,747.3016968,744.2130737,746.9923096,744.097168,747.5008545,747.9967041,817.5941162,815.2316284,813.1566162,820.2866821,813.4697266,818.6486206,816.371582,720.4797363,725.8695068,719.7481689,721.3233643,726.9754639,725.1777954,722.2897339,794.7770386,797.0963745,793.9168701,797.9421387,796.7404175,793.2260132,795.135437,736.7232056,738.6495361,742.3881226,738.9069824,735.9551392,734.3579712,738.8613892,805.8025513,804.6019897,803.7470703,803.1724243,808.7123413,808.0255127,803.4121094,713.619751,711.8718872,713.5136108,718.5689087,715.2861328,712.218811,713.4480591,793.9650269,797.1129761,797.920105,795.9477539,793.3141479,792.9564819,798.2376709,757.1312866,754.2714844,753.3251343,756.0852661,750.4506226,750.637207,751.4185791,818.2938843,819.2164917,819.9436646,822.0916748,818.2001953,818.8078003,818.4345703,726.9727783,726.3427124,724.4200439,731.6038208,727.7819824,725.9414063,728.1682129,810.5583496,818.9872437,801.385437,817.1364746,813.472229,816.4049072,813.079895
66,759.5883179,753.8901367,755.805542,759.0767822,762.4954224,763.473999,760.8894653,832.9801025,830.8895264,832.265625,834.7936401,837.9118652,835.3601074,831.7126465,759.4366455,756.8041992,749.5221558,755.1802368,760.9720459,758.5684204,760.8184204,831.805603,829.4350586,830.0361328,829.979187,825.0895386,826.0355225,830.5111084,769.8198242,764.4926758,765.06073,762.3743896,763.857605,765.1210327,763.1627197,827.3117676,838.5762939,838.2712402,833.0458984,834.1549683,835.3396606,834.9915771,768.444397,765.5206299,765.1499634,764.1212769,761.8187256,761.2301025,761.5808105,840.1868286,838.3081055,839.2144775,841.5012817,837.2466431,840.149292,841.5753784,763.1248169,762.836792,763.7480469,771.0574341,760.9473877,764.7658691,763.755249,836.1970215,838.6665039,834.9407959,834.9793701,838.5814819,836.5357666,835.211731,740.7625732,745.7687988,743.203125,737.8070068,742.1170654,738.199646,741.2756348,815.4938354,811.2895508,817.6304321,816.7607422,814.8598633,813.1577759,814.1735229,760.5080566,758.4633179,755.7541504,755.994812,755.5825806,756.0811768,760.9928589,823.4664307,825.1758423,828.609375,822.8458862,824.8755493,829.0420532,827.0421143,733.8786011,731.5887451,731.1869507,730.5863037,733.9098511,734.3372803,727.9978027,811.9278564,814.4043579,818.3863525,811.9586182,813.7606812,813.868042,813.8855591,772.4249268,772.9470825,774.7382813,776.0508423,769.9139404,771.614563,769.9855957,836.2479858,840.9731445,837.1385498,839.0480957,839.2301636,838.05896,840.6158447,748.3085327,747.227417,746.6947632,746.833252,748.4165649,746.8921509,746.2764893,832.0490112,838.1243286,832.4674683,836.135498,831.6330566,832.8670044,837.2355957
68,792.8798218,784.4189453,788.7868042,789.6571655,796.1369019,791.5357056,790.2996826,870.9562988,867.729126,867.6634521,871.9100342,866.8823853,872.5576172,872.0494995,788.9049072,790.1107178,782.9741211,786.0505981,791.5163574,793.9818726,790.1483765,864.920166,862.1549072,865.9371338,862.8756104,861.4125977,861.2173462,860.2880859,795.0910645,797.9507446,796.2922363,794.043335,793.8423462,797.8139648,795.3887939,872.2788696,871.0270386,870.7908936,868.3841553,872.0993042,868.579834,868.3421631,800.4555664,797.2366333,794.1643066,795.1952515,796.8966064,790.756897,790.0477295,872.4526367,876.8252563,877.2908936,884.0111694,874.6798096,873.3830566,880.1472778,795.6118164,793.9000244,798.6400757,797.99823,795.4509888,801.7352295,796.2896729,869.467041,870.4587402,872.7318726,868.9732056,870.3068848,872.0473633,873.3096313,774.8099976,774.8391724,775.9036255,775.1368408,773.1074219,773.1482544,777.8261719,844.1473389,846.5797119,849.5085449,848.3126221,849.5310669,843.4533691,846.583313,792.8841553,787.9611206,786.2218018,787.3060303,790.6469116,786.1976318,789.9251709,856.1707764,862.4918213,860.2485352,858.5881348,861.1439209,859.9428101,857.9955444,762.7332153,770.225647,761.6842041,762.3808594,764.6761475,765.2223511,763.1408081,850.5796509,848.9169312,846.911377,844.2601929,848.0287476,846.699585,847.7299194,811.6834717,806.6098633,806.7112427,807.2264404,803.605896,796.8873291,799.1243896,873.1807251,872.7199707,872.5944824,871.0314941,870.0064697,871.5529175,874.3588867,777.5509644,778.2439575,780.2327271,776.8088989,780.5227051,778.208252,777.052063,869.0993652,872.1166382,869.8607788,867.3962402,868.3283691,873.999939,868.6375122
69,806.2666016,802.8718872,802.4272461,807.5363159,811.4918823,809.050293,805.7644653,887.128479,884.0132446,884.6594849,885.8151855,888.0621338,883.6641235,883.5244751,809.1751709,802.2131348,801.0039063,797.2157593,806.0640259,803.2827148,804.8460083,877.7988892,873.9430542,878.7320557,881.7930298,879.6072998,875.6016235,877.9909058,811.4050903,809.5513916,808.2471924,810.3623657,815.1918335,807.1976318,811.7713623,888.9720459,888.7696533,892.2008057,885.5111694,888.0950928,887.9899292,885.9273682,813.0319214,808.1484985,814.5137939,812.5374146,816.1973267,809.7531738,808.7679443,893.2201538,892.9888916,892.3200684,891.4209595,887.8659058,894.024292,889.4937134,814.4088135,814.4238281,814.5043335,814.8883057,812.0498047,808.1161499,809.8081665,888.4974976,887.9873657,882.5611572,883.1207275,886.5301514,889.7602539,887.6437988,789.0698242,787.5332031,786.6785889,789.1490479,787.7077637,784.4157715,784.8389893,862.4470825,864.1082153,864.9877319,861.3198853,863.2396851,862.4193726,867.067688,802.0864258,801.7644653,802.7662354,803.7056274,803.8505859,801.5795288,799.3237305,872.3189087,871.8253174,877.4576416,876.2388306,872.8770142,874.1444092,875.7756348,778.0609741,780.3979492,778.4195557,778.4187622,776.072876,775.5795288,778.3366089,861.0374146,866.0596313,860.3136597,866.6983032,864.4904175,863.4589844,860.6598511,821.3390503,822.2354126,819.9051514,822.4828491,815.8973389,815.3527832,819.8083496,887.2978516,888.897522,889.0321045,889.0891724,888.4592896,887.7399292,891.8021851,790.8950806,791.6021118,791.4537354,796.19104,794.8588867,792.3823853,788.1637573,881.2141113,892.015625,886.475769,882.9994507,880.5974731,881.4476929,885.6015625
70,818.9013672,819.0269165,812.9533691,820.1582642,821.78479,823.117981,819.447876,901.4597778,895.9057617,904.6121216,900.8317871,897.960144,901.276123,904.7900391,822.4331055,823.2164917,811.5664673,815.397583,817.500061,821.7122803,822.4232788,895.8803101,896.7265625,892.5661011,892.9104614,899.2616577,898.4591064,894.6436157,830.2175903,826.4616699,825.8883057,831.8034668,824.6984253,825.1431885,820.3037109,905.8171387,899.732605,903.1795044,906.1508179,901.84198,900.8469238,902.7334595,833.3096924,822.444519,823.4373779,827.9229126,824.2023315,822.178833,824.3154907,909.3264771,906.2421875,910.7208252,909.0200195,904.7207642,905.4800415,913.7221069,822.6739502,826.0952148,825.6398315,825.5550537,827.4609375,826.0234375,826.9504395,901.5657959,908.5315552,908.9545288,906.0542603,906.9308472,904.723999,903.9046021,802.2796631,802.9309082,800.0489502,804.2954712,800.3010254,800.8602905,799.4492188,879.494873,877.7788086,878.0578613,880.7545166,877.9478149,873.0639038,877.0966797,818.3326416,820.2987671,818.3493652,819.5253296,818.5341797,814.0952148,817.4683838,891.986084,890.3954468,889.4851685,892.5084839,889.4111328,892.6565552,891.4485474,795.0511475,789.125061,789.7910767,789.8952026,790.3459473,798.2730713,792.8486938,878.2445679,882.0717163,882.4990234,881.8566895,877.6947632,884.5327148,879.0717773,838.7890015,838.1646118,837.8880615,839.65271,835.5,834.1207886,832.2158813,901.6789551,908.3054199,906.5006104,904.2801514,905.9830322,907.2996826,909.1618652,807.430481,805.295105,804.2839355,804.4729004,809.6651611,809.4956665,804.9685669,902.2000122,903.8998413,898.5002441,901.2026978,901.4395142,901.4907837,901.3476563
71,832.1453247,827.7518311,828.430603,829.0080566,837.6997681,833.9505005,830.7751465,912.6911621,911.7063599,919.3518066,914.1222534,916.4883423,912.2817383,909.225708,828.1137695,829.6762085,822.5692749,828.0514526,832.3935547,836.2099609,836.8546143,904.5791626,905.8786011,907.5079956,904.6081543,907.4085083,903.5344849,902.5219116,840.7988281,838.7516479,834.3833008,839.5170288,839.7282104,836.8527222,836.4509888,914.9332886,919.0072021,913.1127319,914.3455811,909.1843262,913.3186646,913.4443359,844.2603149,842.5328369,835.8829346,837.7907104,834.4342041,839.1088867,838.6524658,916.6308594,916.9993286,917.8944092,917.9130249,921.053894,920.6851196,917.4399414,843.3190918,836.8704834,837.9718628,837.9851074,835.0463257,839.1888428,837.2177734,909.0440674,917.5062866,915.4907227,915.8093262,916.692749,916.2050171,913.4487915,812.1373291,809.0142212,814.1107788,810.418457,808.5275269,814.043457,814.2005005,890.829895,893.5093994,887.1356812,891.034729,893.8644409,892.0831299,894.0803223,828.7669067,828.1887207,826.2773438,829.7271118,827.1640625,829.9854126,830.9383545,895.0252686,904.0239258,898.7706909,902.3440552,902.9837646,905.0113525,902.3810425,801.0494995,804.8244019,801.7301025,799.4453735,802.6956787,801.1209717,804.5730591,892.5439453,890.2028198,889.4707031,896.7901001,894.4465942,888.5756226,887.3140869,851.6992188,848.9306641,850.3291626,849.5535889,847.5961914,844.6300659,846.2531128,920.2081909,918.6239014,919.0410156,916.9367065,916.376709,918.2977905,918.7806396,820.0292969,818.1702271,822.697876,815.756897,818.1776123,817.8192139,815.5653687,910.8428955,910.6574097,911.7268677,914.0845947,913.4342041,916.4282837,916.6771851
72,844.3570557,838.9732056,834.0330811,844.6776733,840.9441528,842.6203613,842.5152588,924.8788452,923.2446899,923.9950562,923.9807739,924.6085815,926.65448,925.7811279,844.2044678,835.4987793,831.4551392,832.4806519,839.8718262,845.5224609,841.4146118,916.9655151,918.5750122,914.9494629,917.71875,923.3632813,911.5281982,911.6463623,846.4428711,846.0116577,845.6695557,846.6978149,846.4786987,842.5609131,846.5195313,925.9400635,925.2041626,922.5731201,920.920105,923.9840088,925.0332642,928.1464844,851.7122803,848.3328247,847.7998657,847.9272461,844.4821167,846.8883667,842.7141724,932.1499634,926.3682861,931.1508789,926.1678467,928.9309082,927.3846436,929.9506836,849.8150024,846.8762207,844.3323364,844.7044678,845.5420532,844.062561,847.8051147,925.8996582,926.9450073,925.8661499,924.3497314,928.7474976,926.8713379,924.7810669,823.5439453,821.0942383,817.378418,819.7123413,818.7911987,821.5518799,823.0256348,902.1787109,898.0563354,900.196167,905.046936,902.4867554,899.6645508,900.361084,838.2286987,835.5470581,837.7130737,834.8669434,840.1331177,831.8866577,834.7571411,911.5582886,909.7381592,911.3357544,911.4102173,909.2543945,907.0013428,909.7400513,816.0565186,807.8067017,809.8270874,807.8016357,813.2897339,813.9240723,811.7905884,900.9295654,901.7026367,899.1309204,905.5581665,905.0531616,901.8491821,899.3901367,862.8014526,854.9310303,855.0269165,861.6893311,853.5563354,853.0685425,843.7519531,928.6159058,927.5118408,924.0703125,927.0474854,926.2818604,925.8508911,929.9859009,823.737793,824.3417358,826.3023071,826.6298218,825.6467285,827.5115356,823.2485962,921.8852539,924.8912964,922.677124,925.5270996,926.0471191,920.8544312,927.7472534
