CQD1,CQD2,CQD3,CQD4,CQD5,CQD6,CQD7,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Batch,Operator,Concentration
932.5366211,933.817627,937.3892212,937.3687134,941.8894653,935.2139893,933.8464966,852.086792,856.081604,853.3268433,856.5657349,860.328064,859.0878906,863.7952881,B,Operator 1,1pM Pb
950.1899414,947.6395874,949.3414307,946.4033203,946.4981079,946.8610229,948.5528564,866.5465088,867.9924927,865.0496216,869.947998,873.177124,871.7564087,872.253418,B,Operator 1,1pM Pb
956.9158325,950.8908691,951.0761719,953.1817017,951.2345581,953.1497803,954.1109619,870.6141357,872.9992676,877.0980835,874.4264526,873.644043,877.6668091,879.7251587,B,Operator 1,1pM Pb
947.9914551,956.4888306,954.8309326,961.0612793,951.8044434,960.3840942,952.0167236,871.4661865,871.6715698,875.8267212,877.4285889,877.6804199,878.2385864,881.9379883,B,Operator 1,1pM Pb
956.8272095,953.8932495,952.8776245,952.5431519,956.4467773,952.4475098,960.2701416,876.6925659,875.5131836,873.6392212,880.7019653,877.1774902,880.3682861,879.1999512,B,Operator 1,1pM Pb
955.6233521,952.7096558,953.5363159,957.6992188,954.0183716,956.741333,956.5820313,872.0438232,879.5948486,874.4541626,876.3380127,878.1361694,880.3654785,880.8804932,B,Operator 1,1pM Pb
955.0613403,951.901123,956.9815674,961.0029297,952.9126587,954.8299561,953.3240967,874.2000732,872.2914429,874.5165405,875.6481323,877.5975952,872.8322754,876.3496094,B,Operator 1,1pM Pb
954.0878296,954.3984375,950.5251465,950.6420288,955.7609863,951.6002808,954.3599243,866.7953491,870.4632568,874.7924805,875.3146973,874.6229858,882.2169189,880.3184204,B,Operator 1,1pM Pb
950.6356812,945.6659546,946.8589478,952.4797974,947.4017334,945.5282593,947.835022,865.34375,871.0222168,868.65802,873.307312,872.572876,872.416626,873.9743042,B,Operator 1,1pM Pb
946.2412109,942.9316406,943.5668945,944.8797607,946.3258667,947.1691284,942.9210205,865.0656738,864.4699097,864.8248291,866.4337769,868.0713501,867.1531982,868.9625854,B,Operator 1,1pM Pb
937.5767212,936.934021,942.2503052,941.1590576,942.7750244,937.5256958,944.409729,857.2526245,861.901062,863.4259644,866.098938,869.2407227,866.8178101,869.4867554,B,Operator 1,1pM Pb
932.5186768,933.75,937.7368774,933.6359863,937.6824951,937.7678833,934.6807251,854.1936035,856.2852173,853.7077637,851.9573364,858.0213623,859.0093994,864.022583,B,Operator 1,1pM Pb
925.734375,925.6246338,926.9677734,933.2992554,927.1764526,929.3123169,930.2975464,849.6672974,848.5236206,849.8903809,853.8547974,853.7043457,855.2851563,855.7260132,B,Operator 1,1pM Pb
904.2677002,902.9804077,905.8652344,909.164917,905.1008301,902.6447144,905.4824829,824.8700562,829.6305542,825.4494629,830.7279663,834.6055298,839.3091431,831.2249756,B,Operator 1,1pM Pb
893.0883179,893.3464966,897.4282837,895.6603394,893.2759399,898.6002197,895.1184692,820.1657715,818.4508057,814.2351074,819.8731079,823.0637817,822.6729126,822.7947998,B,Operator 1,1pM Pb
916.6679688,915.5213013,924.5055542,932.8183594,936.5858765,928.9099731,929.0565186,648.0045776,657.3106689,665.4962769,643.8529053,659.4282227,653.7165527,670.8444214,B,Operator 1,500pM Pb
929.9714355,929.8845215,937.3203735,948.6812134,949.9074707,941.3649292,947.8529663,660.2421265,668.4121704,680.2276611,658.010498,672.7562256,664.4639893,680.6638794,B,Operator 1,500pM Pb
940.1537476,941.3063354,946.2226563,951.5977173,951.9282227,948.2941895,948.9154053,667.201416,677.0645752,684.0882568,663.7879028,677.7835083,675.024353,688.8974609,B,Operator 1,500pM Pb
943.2088013,940.6415405,946.3035889,953.7124023,961.7950439,949.1741333,955.6546631,671.6411133,674.6025391,691.8885498,667.8986206,681.5782471,674.0924072,687.8735962,B,Operator 1,500pM Pb
942.5066528,936.3504639,946.6115723,958.0072021,954.5544434,955.4709473,954.0961304,673.6456909,677.9080811,690.3739624,667.8331909,684.5170288,676.6846313,696.2440186,B,Operator 1,500pM Pb
940.4315186,934.638916,945.1175537,955.2675781,960.2074585,949.8419189,956.600708,671.0092773,677.600708,689.5111694,667.0535278,685.6608887,678.2404785,692.6143799,B,Operator 1,500pM Pb
938.0305786,934.8984375,945.1179199,955.3666992,955.1808472,946.4251099,955.8130493,672.8656006,680.7368164,689.2155151,667.7242432,685.079834,677.1444092,695.2393799,B,Operator 1,500pM Pb
940.1665039,935.7952881,942.4743652,954.27948,949.4284058,947.8046875,957.729126,672.7967529,676.0178223,691.039978,666.6971436,681.7827148,675.1452026,692.9954834,B,Operator 1,500pM Pb
930.4257202,935.74646,939.1120605,955.1676636,947.5076294,946.2647095,950.9740601,670.9860229,675.9969482,686.4430542,665.4276733,679.5085449,674.0227051,691.0598145,B,Operator 1,500pM Pb
928.7530518,928.5135498,942.480896,947.7453613,940.8846436,943.223938,941.5748291,664.555542,672.6438599,685.9035034,663.6190796,678.7784424,673.5201416,688.8353271,B,Operator 1,500pM Pb
925.3548584,927.3275146,940.1738281,938.3729858,942.69104,938.7609863,937.4613647,668.3757324,666.9664307,680.7653809,660.5456543,674.7807007,668.4893799,682.8277588,B,Operator 1,500pM Pb
920.7964478,920.0037231,926.0372925,935.9497681,933.2371216,932.7979736,936.791748,663.0908203,660.4768677,679.3422852,655.8631592,673.3720093,664.8154907,677.5484009,B,Operator 1,500pM Pb
915.1758423,908.2556152,918.5385132,927.5177002,927.6976929,929.0778198,929.8338623,660.2563477,663.1428833,672.1608276,653.2539673,667.2770386,664.3277588,681.8336792,B,Operator 1,500pM Pb
895.3202515,886.7910156,897.9177856,908.5526123,909.6467285,901.5349121,902.4303589,651.442627,645.9855347,660.9556885,640.6814575,652.3500977,645.3579712,658.6830444,B,Operator 1,500pM Pb
880.3372192,885.005127,891.3916626,897.8452148,895.1550903,891.4246216,900.3948975,639.914978,639.5505371,652.3309937,633.406311,645.3300781,642.5200195,657.1846313,B,Operator 1,500pM Pb
937.7785034,945.802063,948.572998,944.9089966,934.9012451,933.3912354,939.9182739,839.7001953,841.5971069,839.9447021,840.0,823.5855713,819.5647583,811.2449951,B,Operator 1,50pM Pb
957.826416,956.3570557,968.2932739,958.2657471,951.6448975,953.9494629,957.5115967,851.6452026,853.4330444,853.1363525,851.9258423,837.5844727,834.7094727,824.7052002,B,Operator 1,50pM Pb
952.5734863,966.6234131,967.7694702,965.5872803,950.2431641,954.78479,961.0593262,865.7614746,858.9811401,856.7341309,856.9662476,841.9862671,836.0545044,830.1912842,B,Operator 1,50pM Pb
960.1612549,965.8201294,967.0704956,964.8330078,955.5394287,953.9824219,967.3855591,863.4282837,865.7468262,859.6989136,858.3039551,849.7700195,841.7055054,837.7817383,B,Operator 1,50pM Pb
960.883728,966.5580444,973.4294434,968.336731,956.4008789,958.8461914,970.0874023,864.3234863,865.4810181,860.9179688,861.6394043,850.5294189,844.1405029,833.5240479,B,Operator 1,50pM Pb
960.5165405,969.4552612,973.2322998,968.1568604,957.8927612,956.1064453,968.3374634,860.288208,863.6412354,856.3208008,863.3119507,853.0535278,835.1212769,834.5203857,B,Operator 1,50pM Pb
959.3626709,963.201355,973.8688354,965.4830322,956.6337891,951.5194702,966.2549438,861.37323,862.4458008,860.9081421,858.5180054,842.0534058,839.0991821,834.0789795,B,Operator 1,50pM Pb
954.8262939,963.4777832,966.8379517,964.5684204,953.7265015,953.3285522,963.617981,859.0909424,864.2322388,857.638855,861.5574951,845.4973145,838.0444336,834.7757568,B,Operator 1,50pM Pb
951.1040039,959.3640137,963.7095947,960.2511597,953.3150635,947.7542725,964.8156738,857.7562866,856.2984619,850.9387207,854.7818604,839.6417236,837.9988403,825.7331543,B,Operator 1,50pM Pb
945.4242554,956.5767212,957.8220825,958.0377808,944.7150269,944.4932251,957.4599609,854.7443848,852.321167,851.0043335,856.7283325,840.3388062,835.5250244,828.0249634,B,Operator 1,50pM Pb
949.6758423,953.8613281,949.1757813,950.1213989,945.6677856,941.0483398,951.1521606,850.1746216,850.3637085,846.5018311,844.6437378,840.1646118,828.4569092,824.1601563,B,Operator 1,50pM Pb
942.302002,948.4822388,947.2304077,948.644104,938.7295532,931.1434326,949.1887817,848.7341919,847.0158081,845.7349854,839.0532227,831.1610718,822.7242432,816.6005249,B,Operator 1,50pM Pb
936.3777466,941.1619263,940.7434692,940.7824707,932.864624,932.0396118,944.0962524,838.7067261,840.9472656,833.6174316,834.2599487,824.4135742,818.5648193,815.3482666,B,Operator 1,50pM Pb
911.6986084,914.1651001,912.5432129,916.0383301,908.8347168,907.1124268,909.6425171,819.1323853,820.5535278,817.4599609,819.7544556,805.9088745,798.9734497,794.5532837,B,Operator 1,50pM Pb
901.5252686,909.7449341,904.8953247,912.0518799,902.4151611,895.833313,904.1533813,816.3675537,810.1608276,806.6546021,809.710022,800.1968384,788.697998,786.7647705,B,Operator 1,50pM Pb
910.6157227,908.947998,919.9856567,919.8823242,920.0597534,926.8102417,929.1563721,745.8432007,756.442749,775.1469116,747.2280884,740.803833,757.1455078,773.3416748,B,Operator 1,5nM Pb
924.3273926,925.3860474,932.8317261,934.5233154,928.215271,942.838623,942.7382813,757.2435913,770.4327393,785.7678223,759.6792603,753.7885132,765.3565674,786.7776489,B,Operator 1,5nM Pb
926.7644043,934.3327637,940.7872925,939.4144287,933.65448,954.3638916,944.8770752,759.5928345,774.5760498,790.2445679,769.345459,760.1229858,772.710083,796.0076904,B,Operator 1,5nM Pb
936.8540039,936.5475464,939.5323486,940.1032104,936.4028931,947.4713135,947.7644653,772.6940308,778.5195923,790.7294922,771.078186,764.4907227,775.3078003,795.0931396,B,Operator 1,5nM Pb
932.8117676,941.2752686,943.6829224,941.6535034,940.2485352,953.4041138,949.4457397,767.1600342,773.2368164,791.8533936,768.3387451,763.3861084,776.5838623,794.1665649,B,Operator 1,5nM Pb
