CQD1,CQD2,CQD3,CQD4,CQD5,CQD6,CQD7,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Batch,Operator,Concentration
277.0914917,277.2073059,276.9334106,277.9469299,278.1734619,279.8786011,278.1807556,252.5146332,251.2458038,249.1920319,251.8792419,248.6689758,252.1219025,250.1210938,B,Operator 1,10ppb
329.5081482,331.9556885,329.6200256,330.1942749,329.2079773,330.5480042,330.6613464,300.1573181,297.0488586,298.3421021,299.7039795,298.9849854,300.6328125,301.5885315,B,Operator 1,10ppb
364.1425476,363.3472595,361.6354675,364.0433044,365.355835,363.4458008,364.3924255,328.0814819,326.4237671,327.440094,327.0158081,328.9988403,327.3290405,327.2350159,B,Operator 1,10ppb
392.5444641,391.1491089,391.2718811,392.136261,392.3618469,392.6283264,392.3859863,353.3110962,354.092804,353.2420959,351.7528381,354.3560181,355.6028748,354.4725647,B,Operator 1,10ppb
428.1119995,429.1820679,427.7154541,428.2770996,427.7883606,429.6618958,429.4020691,387.0922546,385.8625488,385.1481628,387.6738281,384.2592468,386.1934204,387.0499878,B,Operator 1,10ppb
457.1538696,453.3902283,456.4975281,455.9759216,454.0280457,455.2285767,454.7579041,413.8280945,410.0004883,411.5032043,410.7885742,409.9458923,409.5497437,410.2762756,B,Operator 1,10ppb
487.4680786,493.76474,490.0867004,486.6476135,489.4167175,491.8088074,488.6499634,442.2785034,445.3268738,442.8306885,440.6498718,443.7933655,443.0698242,443.3128662,B,Operator 1,10ppb
521.7640991,521.1311646,518.6546631,518.3684692,519.3955078,519.2608643,518.7297974,468.246582,468.6455994,468.5076904,470.513855,469.9826965,467.901947,466.6870117,B,Operator 1,10ppb
553.5841064,551.9506836,553.6216431,554.09021,555.6246338,555.9145508,556.663147,502.8036804,502.8974915,500.2060547,500.3817139,501.4495239,498.8722229,501.6003113,B,Operator 1,10ppb
580.9619141,584.3588867,586.088501,585.2252808,583.9945068,582.8274536,582.2408447,526.7669067,527.3373413,526.4868774,527.3452148,527.1700439,526.1216431,525.9005127,B,Operator 1,10ppb
612.5307007,616.1015015,615.7547607,613.885498,614.6688843,614.4177246,612.739502,555.7764282,554.6915894,552.862793,554.5009155,553.6784668,555.5039063,553.5932617,B,Operator 1,10ppb
637.9902954,641.5023193,641.1523438,640.4626465,642.1486816,643.0939331,637.6790771,581.2645264,578.9716187,580.4403687,580.5029907,576.9893799,578.2672119,579.4598389,B,Operator 1,10ppb
673.4287109,675.6782227,675.0143433,676.635498,671.6204224,673.3265381,672.6938477,606.8614502,612.3485107,606.8148193,603.4900513,603.2422485,609.3853149,609.5456543,B,Operator 1,10ppb
699.520813,699.7714233,700.4971313,698.6190186,698.3348999,699.0082397,698.8377686,631.543335,632.4404907,631.8626709,632.7087402,632.8412476,630.4425659,628.9360352,B,Operator 1,10ppb
726.4859619,729.1741943,731.7850342,729.8949585,734.0581055,729.3008423,727.2713013,657.5010986,660.8391113,659.149292,659.7490845,653.4516602,656.8242188,654.6867065,B,Operator 1,10ppb
256.0150757,256.7310486,257.0628357,257.6816101,257.1898193,258.614624,256.1103821,233.7770386,232.768158,233.4121399,233.3688049,231.0674744,233.7634277,232.6519165,B,Operator 1,1ppb
304.5800476,306.3399658,305.072937,304.197876,306.0993042,303.6687012,303.6504822,276.5132141,277.0897827,275.7500916,276.1940002,274.3979187,274.9964905,276.5973816,B,Operator 1,1ppb
333.4690247,335.6567688,334.47052,330.4010925,332.8935242,333.7671814,335.2108459,304.4724426,304.1489258,304.5028076,303.653656,301.1957092,304.6422119,301.890564,B,Operator 1,1ppb
359.8061829,358.2139587,362.8224792,363.9571838,360.9576416,356.3892212,359.7971497,327.9360046,326.6693115,325.8823853,327.2305603,326.7068176,326.0268555,327.4126892,B,Operator 1,1ppb
396.0889587,393.8814392,393.6517029,392.5523987,391.8108826,394.0131226,390.7058411,356.0790405,354.4930115,356.8202209,354.5693359,354.7563477,356.9454041,353.457489,B,Operator 1,1ppb
416.0108948,420.5151672,414.8259277,418.1171875,417.8108826,416.8700256,417.1712952,381.4278564,378.4534607,378.413269,376.702301,378.463501,377.7224731,379.2262268,B,Operator 1,1ppb
452.184967,448.7776184,450.8011475,448.6298523,451.7543945,447.8689575,445.6438904,409.009552,407.1464233,406.4262695,408.546936,409.1659546,406.8995056,407.4778748,B,Operator 1,1ppb
474.997467,477.4120483,477.6091003,475.1969604,474.2188721,477.8422852,473.0631104,434.7996826,431.9806824,431.722168,432.5422974,432.2059937,432.3569031,431.1141968,B,Operator 1,1ppb
505.2962952,510.8369446,508.4269104,511.5646057,507.4558105,506.0642395,508.8417664,461.1289978,461.2051697,460.1958923,460.5730286,458.3399353,460.2257996,460.5578003,B,Operator 1,1ppb
532.9688721,534.0215454,534.9151001,536.4100342,539.6035767,533.8811035,532.815918,486.1759033,485.2692566,484.1231079,483.9601135,481.2260437,483.9465332,484.3757019,B,Operator 1,1ppb
559.3495483,564.5212402,559.6346436,558.8860474,559.8760376,561.1655273,558.8531494,509.2666016,506.479248,507.8901672,509.1462097,507.1192932,510.056366,507.8925476,B,Operator 1,1ppb
