Run1,CQD1,Run2,CQD2,Run3,CQD3,Run4,CQD4,Run5,CQD5,Run6,CQD6,Run7,CQD7,Batch,Operator,Concentration
865.34375,950.6356812,871.0222168,945.6659546,868.65802,946.8589478,873.307312,952.4797974,872.572876,947.4017334,872.416626,945.5282593,873.9743042,947.835022,B,Operator 1,1pM Pb
849.6672974,925.734375,848.5236206,925.6246338,849.8903809,926.9677734,853.8547974,933.2992554,853.7043457,927.1764526,855.2851563,929.3123169,855.7260132,930.2975464,B,Operator 1,1pM Pb
857.2526245,937.5767212,861.901062,936.934021,863.4259644,942.2503052,866.098938,941.1590576,869.2407227,942.7750244,866.8178101,937.5256958,869.4867554,944.409729,B,Operator 1,1pM Pb
872.0438232,955.6233521,879.5948486,952.7096558,874.4541626,953.5363159,876.3380127,957.6992188,878.1361694,954.0183716,880.3654785,956.741333,880.8804932,956.5820313,B,Operator 1,1pM Pb
865.0656738,946.2412109,864.4699097,942.9316406,864.8248291,943.5668945,866.4337769,944.8797607,868.0713501,946.3258667,867.1531982,947.1691284,868.9625854,942.9210205,B,Operator 1,1pM Pb
824.8700562,904.2677002,829.6305542,902.9804077,825.4494629,905.8652344,830.7279663,909.164917,834.6055298,905.1008301,839.3091431,902.6447144,831.2249756,905.4824829,B,Operator 1,1pM Pb
876.6925659,956.8272095,875.5131836,953.8932495,873.6392212,952.8776245,880.7019653,952.5431519,877.1774902,956.4467773,880.3682861,952.4475098,879.1999512,960.2701416,B,Operator 1,1pM Pb
870.6141357,956.9158325,872.9992676,950.8908691,877.0980835,951.0761719,874.4264526,953.1817017,873.644043,951.2345581,877.6668091,953.1497803,879.7251587,954.1109619,B,Operator 1,1pM Pb
854.1936035,932.5186768,856.2852173,933.75,853.7077637,937.7368774,851.9573364,933.6359863,858.0213623,937.6824951,859.0093994,937.7678833,864.022583,934.6807251,B,Operator 1,1pM Pb
874.2000732,955.0613403,872.2914429,951.901123,874.5165405,956.9815674,875.6481323,961.0029297,877.5975952,952.9126587,872.8322754,954.8299561,876.3496094,953.3240967,B,Operator 1,1pM Pb
871.4661865,947.9914551,871.6715698,956.4888306,875.8267212,954.8309326,877.4285889,961.0612793,877.6804199,951.8044434,878.2385864,960.3840942,881.9379883,952.0167236,B,Operator 1,1pM Pb
820.1657715,893.0883179,818.4508057,893.3464966,814.2351074,897.4282837,819.8731079,895.6603394,823.0637817,893.2759399,822.6729126,898.6002197,822.7947998,895.1184692,B,Operator 1,1pM Pb
852.086792,932.5366211,856.081604,933.817627,853.3268433,937.3892212,856.5657349,937.3687134,860.328064,941.8894653,859.0878906,935.2139893,863.7952881,933.8464966,B,Operator 1,1pM Pb
670.9860229,930.4257202,675.9969482,935.74646,686.4430542,939.1120605,665.4276733,955.1676636,679.5085449,947.5076294,674.0227051,946.2647095,691.0598145,950.9740601,B,Operator 1,500pM Pb
660.2563477,915.1758423,663.1428833,908.2556152,672.1608276,918.5385132,653.2539673,927.5177002,667.2770386,927.6976929,664.3277588,929.0778198,681.8336792,929.8338623,B,Operator 1,500pM Pb
668.3757324,925.3548584,666.9664307,927.3275146,680.7653809,940.1738281,660.5456543,938.3729858,674.7807007,942.69104,668.4893799,938.7609863,682.8277588,937.4613647,B,Operator 1,500pM Pb
671.0092773,940.4315186,677.600708,934.638916,689.5111694,945.1175537,667.0535278,955.2675781,685.6608887,960.2074585,678.2404785,949.8419189,692.6143799,956.600708,B,Operator 1,500pM Pb
664.555542,928.7530518,672.6438599,928.5135498,685.9035034,942.480896,663.6190796,947.7453613,678.7784424,940.8846436,673.5201416,943.223938,688.8353271,941.5748291,B,Operator 1,500pM Pb
651.442627,895.3202515,645.9855347,886.7910156,660.9556885,897.9177856,640.6814575,908.5526123,652.3500977,909.6467285,645.3579712,901.5349121,658.6830444,902.4303589,B,Operator 1,500pM Pb
673.6456909,942.5066528,677.9080811,936.3504639,690.3739624,946.6115723,667.8331909,958.0072021,684.5170288,954.5544434,676.6846313,955.4709473,696.2440186,954.0961304,B,Operator 1,500pM Pb
667.201416,940.1537476,677.0645752,941.3063354,684.0882568,946.2226563,663.7879028,951.5977173,677.7835083,951.9282227,675.024353,948.2941895,688.8974609,948.9154053,B,Operator 1,500pM Pb
663.0908203,920.7964478,660.4768677,920.0037231,679.3422852,926.0372925,655.8631592,935.9497681,673.3720093,933.2371216,664.8154907,932.7979736,677.5484009,936.791748,B,Operator 1,500pM Pb
672.8656006,938.0305786,680.7368164,934.8984375,689.2155151,945.1179199,667.7242432,955.3666992,685.079834,955.1808472,677.1444092,946.4251099,695.2393799,955.8130493,B,Operator 1,500pM Pb
671.6411133,943.2088013,674.6025391,940.6415405,691.8885498,946.3035889,667.8986206,953.7124023,681.5782471,961.7950439,674.0924072,949.1741333,687.8735962,955.6546631,B,Operator 1,500pM Pb
