Run1,CQD1,Run2,CQD2,Run3,CQD3,Run4,CQD4,Run5,CQD5,Run6,CQD6,Run7,CQD7,Batch,Operator,Concentration
865.34375,950.6356812,871.0222168,945.6659546,868.65802,946.8589478,873.307312,952.4797974,872.572876,947.4017334,872.416626,945.5282593,873.9743042,947.835022,B,Operator 1,1pM Pb
849.6672974,925.734375,848.5236206,925.6246338,849.8903809,926.9677734,853.8547974,933.2992554,853.7043457,927.1764526,855.2851563,929.3123169,855.7260132,930.2975464,B,Operator 1,1pM Pb
857.2526245,937.5767212,861.901062,936.934021,863.4259644,942.2503052,866.098938,941.1590576,869.2407227,942.7750244,866.8178101,937.5256958,869.4867554,944.409729,B,Operator 1,1pM Pb
872.0438232,955.6233521,879.5948486,952.7096558,874.4541626,953.5363159,876.3380127,957.6992188,878.1361694,954.0183716,880.3654785,956.741333,880.8804932,956.5820313,B,Operator 1,1pM Pb
865.0656738,946.2412109,864.4699097,942.9316406,864.8248291,943.5668945,866.4337769,944.8797607,868.0713501,946.3258667,867.1531982,947.1691284,868.9625854,942.9210205,B,Operator 1,1pM Pb
824.8700562,904.2677002,829.6305542,902.9804077,825.4494629,905.8652344,830.7279663,909.164917,834.6055298,905.1008301,839.3091431,902.6447144,831.2249756,905.4824829,B,Operator 1,1pM Pb
876.6925659,956.8272095,875.5131836,953.8932495,873.6392212,952.8776245,880.7019653,952.5431519,877.1774902,956.4467773,880.3682861,952.4475098,879.1999512,960.2701416,B,Operator 1,1pM Pb
870.6141357,956.9158325,872.9992676,950.8908691,877.0980835,951.0761719,874.4264526,953.1817017,873.644043,951.2345581,877.6668091,953.1497803,879.7251587,954.1109619,B,Operator 1,1pM Pb
854.1936035,932.5186768,856.2852173,933.75,853.7077637,937.7368774,851.9573364,933.6359863,858.0213623,937.6824951,859.0093994,937.7678833,864.022583,934.6807251,B,Operator 1,1pM Pb
874.2000732,955.0613403,872.2914429,951.901123,874.5165405,956.9815674,875.6481323,961.0029297,877.5975952,952.9126587,872.8322754,954.8299561,876.3496094,953.3240967,B,Operator 1,1pM Pb
871.4661865,947.9914551,871.6715698,956.4888306,875.8267212,954.8309326,877.4285889,961.0612793,877.6804199,951.8044434,878.2385864,960.3840942,881.9379883,952.0167236,B,Operator 1,1pM Pb
820.1657715,893.0883179,818.4508057,893.3464966,814.2351074,897.4282837,819.8731079,895.6603394,823.0637817,893.2759399,822.6729126,898.6002197,822.7947998,895.1184692,B,Operator 1,1pM Pb
852.086792,932.5366211,856.081604,933.817627,853.3268433,937.3892212,856.5657349,937.3687134,860.328064,941.8894653,859.0878906,935.2139893,863.7952881,933.8464966,B,Operator 1,1pM Pb
866.5465088,950.1899414,867.9924927,947.6395874,865.0496216,949.3414307,869.947998,946.4033203,873.177124,946.4981079,871.7564087,946.8610229,872.253418,948.5528564,B,Operator 1,1pM Pb
866.7953491,954.0878296,870.4632568,954.3984375,874.7924805,950.5251465,875.3146973,950.6420288,874.6229858,955.7609863,882.2169189,951.6002808,880.3184204,954.3599243,B,Operator 1,1pM Pb
825.9315186,916.9188232,831.4298706,913.3450317,832.3377075,909.4007568,838.6379395,914.5887451,840.6088867,915.4907227,844.7591553,915.4925537,842.3203125,914.715332,B,Operator 1,1pM Pb
864.4821167,942.77771,861.1206665,939.2080688,863.7664185,939.8329468,868.8134766,947.0585327,871.7214355,944.9284058,868.6026611,946.6402588,871.661499,947.9579468,B,Operator 1,1pM Pb
877.7402344,960.8897095,879.708374,958.1962891,872.5802002,958.7903442,874.0648193,956.8330688,879.5917358,958.3469238,881.3260498,954.2231445,879.4042969,954.5560303,B,Operator 1,1pM Pb
795.7373657,875.1177368,797.7128906,868.1787109,794.1293945,875.072876,799.4000244,876.4633789,804.9776001,871.0079956,803.1525879,870.2932739,804.6114502,872.21521,B,Operator 1,1pM Pb
872.3441772,952.8989258,867.4049072,947.5571899,870.7497559,948.2163696,872.6136475,957.241333,874.4021606,952.9795532,878.6170654,951.4190674,873.1884766,951.3625488,B,Operator 1,1pM Pb
878.217041,960.1980591,870.4703369,955.8814087,875.1063232,957.8201904,877.7501831,955.9415283,880.1809082,954.1931763,881.1894531,954.5061646,878.5223389,955.7780762,B,Operator 1,1pM Pb
836.579834,923.4855957,838.0922852,920.0506592,842.2110596,917.1517334,844.4187012,921.9519043,843.9490967,918.6954956,852.9429932,920.2662354,848.0914307,920.8522949,B,Operator 1,1pM Pb
861.3684692,943.6431885,859.9458618,939.1620483,861.5604858,934.6218262,864.5719604,937.2215576,864.8449097,940.6206055,865.4811401,937.0314941,865.6851807,938.4416504,B,Operator 1,1pM Pb
811.3102417,888.6364136,807.8649902,884.6566162,811.5067139,884.3577271,808.6928711,886.6661987,815.7243652,884.2060547,813.2062378,885.5568237,817.928833,885.3970947,B,Operator 1,1pM Pb
