Wavelength (nm),CQD (a.u.),50pM (a.u.),100pM (a.u.),150pM (a.u.),200pM (a.u.),300pM (a.u.),400pM (a.u.),500pM (a.u.),600pM (a.u.),700pM (a.u.),800pM (a.u.)
350,807.7624512,393.9754944,687.4125977,355.2716675,369.3503723,810.2284546,501.9126587,366.9666748,723.5319214,724.6328125,718.0822144
351.0700073,894.0970459,427.5630188,764.583313,384.2236633,398.7004089,883.4710083,548.3565063,401.3638,801.7738647,805.0223999,794.3026733
352,856.0250244,402.3606567,732.425415,358.68573,373.8814392,842.4642334,524.3113403,380.9987183,763.8319702,767.2601929,765.5355225
353.0700073,704.3699341,333.0416565,606.8144531,296.8999023,307.4219055,699.5630493,443.3720398,318.781311,639.218689,639.6105347,630.5800781
354,508.8632202,242.9402161,451.4875793,218.987793,229.0771942,516.4442749,336.8204041,236.2395172,467.9431763,470.3748779,467.5444031
355.0700073,283.2938232,138.4611053,249.8313751,119.3297653,127.6604843,290.1069946,194.2559204,136.2453613,258.9274292,260.0776062,258.2112122
356,139.2465057,69.82314301,126.5719376,60.31867599,65.07500458,145.4123535,104.0277481,70.8572998,134.2144318,130.7245178,132.0556641
357.0700073,52.05955505,29.00702286,49.64466858,25.67277527,26.87499046,56.34467316,43.69628525,29.26545715,50.52138519,49.9017601,49.22721481
358,22.69582748,13.21923828,20.14744759,11.45267391,12.33318138,22.27963448,18.17870712,13.22025776,19.80502701,19.92272568,20.42374039
359.0700073,8.28037262,5.804359913,7.16489172,5.314974308,5.470619202,7.864580631,6.200982094,5.843175411,7.54892683,7.292021751,7.114900589
360,5.713877678,4.066793442,4.760166168,4.007204533,3.921903133,5.419089794,4.405286312,4.03006506,5.181274891,5.119876385,5.019412041
361.0700073,5.260495663,3.736130476,4.886527061,3.928318501,3.641073704,5.103471756,4.123052597,3.680434704,4.546609879,4.544231892,4.492451668
362,5.108464718,3.996328354,4.76380682,3.889748573,4.02791214,5.028123379,4.264974117,3.72247076,4.676888466,4.69564724,4.615427494
363.0700073,5.299242973,4.367495537,4.60359478,3.893260956,4.047780991,5.073502541,4.453789711,3.909590721,4.618302822,4.88984108,4.277845383
364,5.241724968,4.451934814,5.001690865,4.213524342,4.178156376,5.305379391,4.396966457,3.987802267,4.888541222,4.759230614,4.594503403
365.0700073,5.393866062,4.592112064,5.336882114,4.611868858,4.255674362,5.235011101,4.625333309,4.032548428,4.962330818,4.913593292,4.732149124
366,5.431406498,4.932729244,5.466540813,4.590444088,4.746118069,5.514418602,5.116146564,4.40937233,4.756556034,5.001695156,5.25783062
367.0700073,5.572463512,5.157980919,5.32079649,4.815673351,4.844741344,5.72277832,5.265704632,4.793426037,5.102534771,5.091850281,4.914586544
368,6.004050732,5.30773592,5.938308239,5.069815159,4.913761139,5.860228062,5.366067886,4.793615818,5.39050293,5.377189636,5.415136814
369.0700073,6.001840115,5.64726305,6.074813366,5.474144936,5.30921793,6.079496861,5.718420982,5.240570068,5.472561359,5.683647633,5.892671108
370,6.512814999,6.026231766,6.438228607,5.816485882,6.173652172,6.477542877,6.124507904,5.678233147,5.855279446,5.952718258,5.792923927
371.0700073,6.619085789,6.455918312,6.993729115,6.278795242,5.951665401,6.852962494,6.175123215,6.005115032,6.30295372,6.466767788,6.394927979
372,7.341509819,6.710264206,7.169880867,6.168935776,6.581022263,7.032486439,6.514421463,6.314229012,6.635573864,6.819047928,6.637476921
373.0700073,7.651669502,7.013829708,7.904972076,7.278369427,6.661752701,7.569087505,7.179932117,6.735826969,6.996249676,7.420960426,6.889220238
374,8.013461113,7.574654102,8.216495514,7.357793808,7.486830235,8.019291878,7.649113655,7.161036968,7.577766418,7.425458431,7.118470669
375.0700073,8.61651516,8.111223221,8.913767815,7.745414257,7.921973228,8.55678463,8.042551994,7.65990591,7.881155014,7.845762253,7.744944096
376,9.256472588,8.441802025,8.991983414,8.501176834,8.277998924,9.008343697,8.731090546,8.00992012,8.638970375,8.44973278,8.776387215
377.0700073,9.499781609,9.343103409,9.996034622,8.988223076,9.228377342,9.779986382,9.156302452,8.356668472,8.811289787,8.766168594,8.888768196
378,10.1024456,9.635867119,10.48912621,9.734226227,9.550909996,10.26855087,9.63777256,9.206130028,9.748472214,9.916040421,9.396156311
379.0700073,11.21307659,10.40495777,11.28923321,10.28489017,10.41546726,10.50630665,10.48797989,9.754106522,10.4150753,10.2850132,10.01526165
380,11.9108696,11.53181362,12.31207466,10.92818642,10.87751961,12.39446735,11.30033684,10.61954308,11.18250847,10.83908939,10.94766617
381.0700073,13.69863033,12.88087654,13.0563879,12.35669994,12.35681915,13.30951786,12.61430836,11.73309326,12.25663948,11.80400276,11.67336464
382,15.09857559,13.70597839,14.42113018,13.28937244,13.21371269,13.66581535,13.05161095,12.50654411,12.3909111,12.3571558,12.6256752
383.0700073,15.9666872,14.86999226,16.38153839,14.33362961,14.50261307,14.98645592,14.35250282,13.77402592,13.89723015,14.24481201,13.42495728
384,17.56651306,16.51063728,17.2623291,16.26730537,15.46668911,16.36665916,15.75285721,14.92066193,15.06539345,14.74332047,15.30661201
385.0700073,20.07897186,18.72697258,19.13048363,17.92582893,17.95169449,18.71156693,17.45682526,16.69701576,17.05851173,16.76256752,16.24659729
386,22.26046562,20.91800308,21.59975243,20.50725555,19.42644501,20.26518822,19.68380547,18.44440079,18.81808281,18.55771065,17.84079933
387.0700073,25.54857635,23.73590088,23.55460358,21.93552017,22.13919067,22.17311287,22.47889137,20.80818939,20.57386589,20.39130783,20.5537262
388,28.18441963,25.96580887,26.64333153,25.3379097,25.02492714,25.06586266,24.38682175,22.28751183,22.52239227,22.70705414,21.92488289
389.0700073,32.48427582,29.61891747,30.58612633,28.41773033,28.3381691,28.41794586,28.36027908,25.66900253,26.04592705,25.41704369,25.10524368
390,36.4335289,33.2653656,34.28753281,31.83043289,31.64612579,32.44184113,31.42550659,28.81079102,29.91397858,28.56609917,27.98649216
391.0700073,43.41176224,39.18354416,38.67699051,37.53585052,36.96302414,38.22503281,36.56064224,33.93326187,34.19876862,33.00296402,32.26564026
392,48.31758881,44.43654633,43.66591644,42.02598572,41.73420715,42.16850281,40.57663727,37.15027618,37.22553635,36.6587944,35.92469788
393.0700073,57.10968781,51.48997116,50.73427582,48.99921417,48.88531494,48.13481522,47.75881958,42.87945175,42.37804794,42.28642654,40.59051132
394,64.1764679,57.31345749,57.03746414,55.22151947,53.70078659,54.28878403,53.1076355,48.35514069,48.09938049,47.09031296,45.70192337
