Wavelength (nm),H_CQD (a.u.),H_50uM (a.u.),HF_CQD (a.u.),HF_50uM (a.u.),S_CQD (a.u.),S_50uM (a.u.),Intensity (a.u.)
360,3.31585,3.125837,3.377909422,3.578107357,8.50037384,8.491482735,3.31585
361.0700073,3.545626,3.239166,3.392316818,3.519122839,8.865777969,9.39677906,3.545626
362,3.860127,3.301552,3.637506723,3.61350441,10.22175598,10.34509563,3.860127
363.0700073,3.951723,3.858531,3.972071171,3.771568298,11.5963974,11.49577999,3.951723
364,4.210754,3.864011,4.27732563,4.112781525,13.02841282,12.9340477,4.210754
365.0700073,4.339144,4.124182,4.795012951,4.469790459,15.52175999,15.36342144,4.339144
366,4.535457,4.65592,5.033455849,4.604206562,17.91302109,17.26898193,4.535457
367.0700073,5.158538,4.937738,5.437431335,4.772421837,20.25094795,19.70837975,5.158538
368,5.313673,4.781442,5.740282536,5.199994087,23.01667023,22.21571159,5.313673
369.0700073,5.888545,5.701446,6.047158718,5.432254314,26.32454109,25.46559715,5.888545
370,6.223565,5.799058,6.803426743,5.94464922,31.10099792,29.24915695,6.223565
371.0700073,6.335032,6.149313,7.739592552,6.533303261,35.11480331,34.21360016,6.335032
372,7.132189,6.242121,8.091091156,6.782192707,38.88318634,37.71778488,7.132189
373.0700073,7.405396,7.107396,8.937572479,7.54962492,44.88197708,43.15829468,7.405396
374,7.818064,7.263154,9.898728371,8.135972023,49.50454712,47.8429718,7.818064
375.0700073,8.226719,7.501398,10.93707752,9.269882202,56.92465591,54.1662674,8.226719
376,9.202969,8.654216,11.98822117,9.508453369,63.89603043,61.68047333,9.202969
377.0700073,9.808388,9.239214,13.11280823,10.98992538,71.19815826,68.60485077,9.808388
378,10.61619,9.909391,14.8702755,11.8189497,76.68787384,74.7583313,10.61619
379.0700073,11.16659,10.77821,16.68616104,13.22514534,87.28200531,83.54696655,11.16659
380,12.04875,11.64332,18.5026722,15.07828331,95.10702515,92.71743774,12.04875
381.0700073,13.54398,12.49546,21.14558029,17.65921593,109.141449,103.4600754,13.54398
382,15.02123,13.29341,23.70170784,19.32064629,116.3056335,111.4626389,15.02123
383.0700073,16.12064,15.63953,27.78070641,21.79724121,129.7607422,122.8295593,16.12064
384,17.75419,16.27129,31.52898788,25.64850807,140.4421539,133.6680145,17.75419
385.0700073,20.22721,18.1621,36.16250992,29.79507065,156.7405396,149.0037994,20.22721
386,22.74883,20.11316,41.82082748,34.84368896,168.3637543,162.5294342,22.74883
387.0700073,25.78563,22.37356,47.98790359,40.56483841,185.9272461,175.7069244,25.78563
388,28.35407,25.01069,54.63839722,45.78361511,200.2950439,188.9112549,28.35407
389.0700073,31.82907,28.76872,63.48645782,53.23044205,217.6233368,206.4356079,31.82907
390,36.72212,32.39921,71.68683624,61.03350449,236.2268677,222.9464111,36.72212
391.0700073,43.84383,37.72695,83.48613739,71.98956299,256.5509033,242.4190063,43.84383
392,48.59924,42.81978,94.68999481,81.45862579,274.4163513,258.8435974,48.59924
393.0700073,56.33496,48.20304,108.277565,93.47740173,296.5109863,279.1579285,56.33496
394,63.23683,55.04545,122.6331329,104.3804016,315.1744385,296.2531433,63.23683
395.0700073,74.18839,64.38298,141.6860962,121.4653778,343.3699951,324.4219666,74.18839
