Wavelength (nm),H_CQD (a.u.),H_50pM Pb (a.u.),HF_CQD (a.u.),HF_50pM (a.u.),S_CQD (a.u.),S_50pM (a.u.)
350,807.7624512,393.9754944,203.6960602,336.2684021,0,0
351.0700073,894.0970459,427.5630188,209.0709534,366.0609436,0,0
352,856.0250244,402.3606567,194.8210144,341.4971008,0,0
353.0700073,704.3699341,333.0416565,155.4780579,278.2137451,0,0
354,508.8632202,242.9402161,118.0486755,212.7055817,0,0
355.0700073,283.2938232,138.4611053,69.9647522,123.9937134,0,0
356,139.2465057,69.82314301,37.81016922,63.49206543,0,0
357.0700073,52.05955505,29.00702286,16.85880661,25.50634193,0,0
358,22.69582748,13.21923828,8.927873611,11.90419579,0,0
359.0700073,8.28037262,5.804359913,5.791033745,6.173129559,0,0
360,5.713877678,4.066793442,5.298562527,5.288438797,2.961408854,3.040224552
361.0700073,5.260495663,3.736130476,5.476685524,5.638126373,3.197643757,3.02503109
362,5.108464718,3.996328354,5.913179398,5.856900215,3.523746014,3.377401829
363.0700073,5.299242973,4.367495537,6.531809807,6.370313168,3.803973913,3.708842516
364,5.241724968,4.451934814,7.036904812,6.656642437,4.113273144,3.924903393
365.0700073,5.393866062,4.592112064,8.072748184,7.014291286,4.499784946,4.175171852
366,5.431406498,4.932729244,8.622294426,7.538192749,4.887366772,4.482461452
367.0700073,5.572463512,5.157980919,9.607215881,8.290668488,5.24124527,4.858332157
368,6.004050732,5.30773592,10.38745308,8.943621635,5.499443531,5.333441257
369.0700073,6.001840115,5.64726305,11.42910671,9.543841362,6.351903439,5.776517391
370,6.512814999,6.026231766,12.13887978,10.37109661,6.89005518,6.350511074
371.0700073,6.619085789,6.455918312,13.63529587,11.46036911,7.606532574,7.140197754
372,7.341509819,6.710264206,14.96503544,12.23084927,8.145922661,7.477860928
373.0700073,7.651669502,7.013829708,15.68197823,13.14415264,8.299716949,8.410618782
374,8.013461113,7.574654102,16.84177589,13.98718071,8.840174675,8.553998947
375.0700073,8.61651516,8.111223221,19.12252235,15.04380894,9.709783554,9.286081314
376,9.256472588,8.441802025,20.50587273,17.09456062,10.59348011,10.25241852
377.0700073,9.499781609,9.343103409,22.89483833,18.65564919,11.65575981,10.94650269
378,10.1024456,9.635867119,24.11850739,19.91944122,12.24405956,11.60336208
379.0700073,11.21307659,10.40495777,27.38777351,22.24856186,13.39532375,12.58437061
380,11.9108696,11.53181362,29.53547287,23.6191864,13.7953825,13.60986805
381.0700073,13.69863033,12.88087654,33.29974365,27.43809128,15.48072433,14.78358364
382,15.09857559,13.70597839,36.47335434,30.84788513,16.4101162,15.65586185
383.0700073,15.9666872,14.86999226,40.73733139,33.63909531,17.6847477,17.15946579
384,17.56651306,16.51063728,45.48416138,38.09361267,19.03659821,18.00526428
385.0700073,20.07897186,18.72697258,51.00746155,43.634758,20.62609482,19.8928051
386,22.26046562,20.91800308,57.43551254,48.11518478,22.79560852,22.24695587
387.0700073,25.54857635,23.73590088,65.24892426,55.65079117,24.20777702,23.43884468
388,28.18441963,25.96580887,71.75698853,59.90680313,26.02286911,24.58317757
389.0700073,32.48427582,29.61891747,79.16762543,68.39722443,28.62417793,27.36039925
390,36.4335289,33.2653656,89.52256775,75.38072968,30.76944923,29.49980354
391.0700073,43.41176224,39.18354416,101.6441498,86.89725494,33.95557404,32.37633133
392,48.31758881,44.43654633,114.2399368,98.62696838,36.554142,35.08909988
393.0700073,57.10968781,51.48997116,127.8552094,112.1960678,40.30741882,38.36030197
394,64.1764679,57.31345749,142.3687592,124.9856949,43.07764435,42.32432938
395.0700073,74.99575806,67.23324585,158.8531189,140.4237671,48.13336563,46.8205986
396,86.68666077,77.68171692,178.4147949,155.2058105,53.05959702,51.56612778
397.0700073,98.37837219,87.9533844,201.1501312,176.2490387,58.77836609,56.51481247
398,110.3535767,99.28133392,219.4731293,191.755188,63.69815063,60.32228088
399.0700073,127.3871994,113.4606247,241.0208893,213.3462982,69.25692749,66.31880951
400,142.4618073,127.2714157,263.1846619,232.1538391,77.55140686,72.30834961
401.0700073,163.4281769,144.4437866,290.7817078,260.5785522,84.32286072,81.56617737
402,178.7541962,158.8787689,317.3563538,279.9094238,92.19164276,87.59991455
403.0700073,204.6981354,180.3097992,340.2433472,302.2237244,100.883667,96.70056915
404,224.6198425,195.5082703,367.5525208,326.8951111,110.1724396,104.999733
405.0700073,252.5700989,221.5409241,398.3621826,358.7008057,122.0353088,116.6413956
406,278.7645874,242.6750793,425.7928772,379.8823242,134.4316254,127.7346191
407.0700073,304.8189087,266.497467,456.8930359,411.2105713,146.867218,139.739212
408,331.5242615,290.9668579,482.4783325,429.1428833,158.7030029,151.7922211
409.0700073,367.3901367,320.8200073,512.3894043,461.4396973,178.06427,169.5425568
410,392.6079407,343.7358398,540.8173218,487.8587341,193.4020538,184.8949127
411.0700073,427.4776001,377.0673523,574.8881836,516.1244507,213.6259308,202.6656494
412,456.7748718,399.076355,604.2325439,542.2085571,229.9172058,219.2317963
413.0700073,491.4412842,430.5271301,630.0246582,565.7210693,250.6086884,240.9290466
414,526.7921753,460.5621033,653.0824585,589.8432007,273.1255188,259.4321289
415.0700073,557.8421021,491.4004822,683.1068726,618.5122681,291.3601379,282.8022156
416,588.6976929,516.8214111,707.0701294,641.6438599,314.3327332,302.1064758
417.0700073,618.8639526,540.7053833,733.2373657,661.3449707,334.9971008,323.0447998
418,646.5912476,568.8894653,749.5842896,679.2837524,359.3830566,341.2893677
419.0700073,683.9840698,599.2199707,776.3006592,708.192688,385.366333,370.4581604
420,704.8670654,619.0030518,796.9598999,725.2792358,406.5122986,391.6323547
421.0599976,734.9074097,645.133667,817.7550659,747.7202148,437.9560852,416.5953674
421.9599915,755.9822388,662.3964844,836.8813477,758.9609375,458.3333435,435.5519409
423.0299988,780.1144409,687.390564,851.7036133,779.1939697,485.7067871,463.0637817
423.9299927,804.5404663,707.2016602,872.5029907,791.2318726,509.8369141,490.8204041
425,828.84375,732.2493286,884.5761719,807.0362549,538.0480957,518.5721436
426.0599976,846.9226685,747.4705811,901.9680786,822.4071045,561.8400879,537.9137573
426.9599915,860.7286377,761.6712646,910.2977905,831.0812988,583.9195557,557.885376
428.0299988,880.0905151,781.8296509,920.4194946,839.817688,607.9226074,580.6472778
428.9299927,894.6942139,790.2576904,932.9884644,848.0780029,632.1878052,603.8526611
430,909.2400513,809.0057373,944.1056519,857.0267334,656.1640625,629.7493896
431.0700073,920.9428101,821.4682617,954.7854004,860.3061523,677.5549316,647.8109131
432,933.6110229,826.1738281,954.368103,866.5695801,697.2828979,662.8320313
433.0700073,941.9562378,834.2313843,961.4463501,876.9875488,715.4540405,685.0930786
434,948.9489746,844.2330322,972.4087524,875.1935425,735.6255493,704.4634399
435.0700073,960.8935547,850.6283569,970.0861206,876.5314331,756.9542236,726.2572632
436,962.1087036,853.5449829,977.7912598,882.2820435,773.0419312,738.1236572
437.0700073,973.1221924,862.1252441,972.7597656,881.7892456,785.6477051,751.3773193
438,968.7710571,864.781189,974.8647461,881.6945801,797.7821045,763.1436157
439.0700073,973.6293945,865.7686157,973.2877197,878.8334351,815.1536865,780.8823242
440,977.5732422,869.1328735,972.3777466,883.7004395,827.0499878,791.9105835
441.0599976,977.7538452,875.8170776,969.7463989,881.8308716,842.5830078,808.0386353
441.9599915,977.3659668,873.6385498,970.2949829,880.8727417,850.2241211,814.1420898
443.0299988,979.3721924,876.1809692,968.3168945,867.0214233,863.0942383,826.0508423
443.9299927,978.9841309,877.4968872,966.961792,870.6539307,871.2091064,837.272522
445,976.0787964,873.2612915,961.1786499,873.0144043,883.0748291,844.5274048
446.0599976,974.4706421,871.2064819,958.992981,863.9424438,895.5227661,858.2061768
446.9599915,975.7054443,873.7752686,955.8383179,860.5888062,897.892334,866.3014526
448.0299988,969.5098267,869.050354,955.3318481,855.5025635,913.7981567,875.1204224
448.9299927,965.6427612,865.4051514,946.1017456,858.128418,916.5098267,878.1732178
450,960.5736084,864.9867554,937.4481812,848.4796753,926.1077271,885.6589966
451.0599976,956.7007446,855.4890137,925.0896606,843.6881714,930.8248901,893.5136108
451.9599915,949.7677612,848.6781616,926.5619507,837.3569336,933.5551758,895.4839478
453.0299988,941.9504395,844.1469116,914.9833984,828.0275269,940.4981079,896.3314819
453.9299927,932.4405518,842.3707886,907.2168579,818.4334717,940.5001831,902.6798706
455,922.0184937,829.7160645,898.680542,813.8707886,939.3265991,905.1181641
456.0599976,914.5283203,823.9612427,889.5313721,804.7539673,941.0635986,906.2444458
456.9599915,905.2367554,814.8738403,880.2450562,795.5003662,938.8344727,903.3288574
458.0299988,889.6694946,803.4589844,867.6633301,788.4289551,942.5740356,903.0111694
458.9299927,884.6420898,791.8936768,857.6327515,775.7648315,938.2965088,900.5817261
460,872.3494873,783.2392578,845.6481323,755.626709,930.9516602,897.2989502
461.0599976,853.5057983,769.6984863,832.6386108,754.142395,935.9705811,893.7549438
461.9599915,844.7692871,756.1525879,818.1295166,743.9767456,922.0311279,886.8250732
463.0299988,825.9325562,746.5217896,805.3998413,727.1878052,917.9760742,879.6396484
463.9299927,809.4057617,731.7193604,790.4841919,716.0612793,907.611084,872.0963135
465,797.5155029,720.2677002,772.8428345,698.015564,904.1544189,866.1968384
466.0599976,784.8598633,709.1687012,764.5561523,688.4509277,892.3955688,853.7889404
466.9599915,771.7186279,696.7391968,745.0410156,682.8536987,885.9657593,848.0244751
468.0299988,750.0470581,680.838623,738.5973511,664.8112793,875.885437,838.236084
468.9299927,735.8408203,666.7711792,718.112793,652.8475342,863.6083374,828.7940063
470,725.0576782,656.4421997,704.4029541,639.067688,856.3040771,824.6768188
471.0599976,708.3280029,637.2012939,691.2752686,624.6557617,847.1401367,808.6713257
471.9599915,693.1680908,627.5553589,680.1707153,615.5518188,835.2421875,799.8201904
473.0299988,674.2854614,613.4353638,662.293335,599.5114136,820.2368774,786.4397583
473.9299927,655.4158936,597.1694336,652.4197998,584.2636108,808.0904541,777.0491333
475,645.3015137,582.3626709,632.4185181,573.1137085,802.3883057,764.6304321
476.0599976,632.2648315,571.4510498,617.2279663,560.625,784.4398804,755.3406372
476.9599915,617.5651855,555.7119751,605.3740845,549.2773438,769.6174927,742.564209
478.0299988,600.6571655,541.7277832,589.0634766,532.5861816,756.7883301,726.2570801
478.9299927,586.3464355,527.7121582,574.744751,519.6268921,745.8043213,713.1536255
480,573.5631714,515.8798218,560.8188477,507.228363,734.6834106,705.3805542
481.0599976,553.6079712,504.6618042,546.1422729,494.2659607,719.145813,687.7191162
481.9599915,544.057251,494.4162598,536.5518188,488.0484009,707.6872559,679.1526489
483.0299988,522.3131714,478.7418823,519.3270874,470.8249817,690.684021,668.9243164
483.9299927,509.170166,466.8065491,509.3989258,460.227356,679.0386353,651.7344971
485,495.8178101,451.570282,492.9086914,446.4394226,665.1624146,637.5549927
486.0599976,483.4602966,437.9443054,483.5512085,436.3022156,654.5635376,624.6149292
486.9599915,468.2671814,427.2311707,472.3274231,425.5084534,641.1816406,613.9574585
488.0299988,453.3322144,415.9814148,457.087677,412.4373474,625.1050415,600.4678345
488.9299927,442.1118164,403.6960449,446.7062683,403.119873,614.1245728,585.2474365
490,433.1793213,393.3442993,432.6045837,390.3770447,599.5392456,579.4363403
491.0400085,418.8369446,382.2201538,423.0040588,383.7734985,588.958313,566.3497314
491.9400024,406.0844727,370.6271362,412.1381836,373.3753662,576.0717773,547.6469727
492.980011,389.6263733,359.7918091,397.8313904,357.6186523,563.6239014,538.9990845
494.019989,380.4075317,347.6226807,384.6558838,348.0223389,549.0211792,529.7650146
495.0700073,369.6715088,342.2355347,375.6706543,340.381012,538.5592651,515.4484863
495.9700012,361.4120789,330.5180054,370.4942322,332.2130432,526.9632568,503.5648804
497.0100098,349.0644226,316.9184875,357.7878723,323.4107056,514.1054077,493.0739136
498.0499878,334.1164856,308.5809631,345.9146118,311.2987671,500.300293,477.9452515
498.9500122,329.2357178,299.604126,336.0887451,302.1488342,492.856781,470.7914124
500,316.2653198,292.8968201,325.8487549,295.5106812,480.7937927,462.9469604
501.0599976,306.3529358,283.2613831,319.7539673,289.7910156,469.3063049,452.1643066
501.9599915,296.9128113,275.8443909,310.4207764,278.7903137,458.4481812,440.2197876
